"parentTconst";"seasonNumber";"episodeNumber";"title_basics_titleBasicsId"
806910;1;160;87321
176357;3;1;87331
86722;1;1;87339
176357;4;5;87342
167732;1;16;87357
176357;3;9;87388
985040;2;1;87395
812202;1;4;87410
86733;1;1;87427
86734;1;1;87437
147770;1;6;87467
176357;3;10;87554
147770;1;2;87598
147770;1;5;87601
199214;6;2;87632
167732;1;15;87654
167732;1;9;87713
86759;1;1;87717
806910;1;169;87721
86765;1;0;87757
167732;1;8;87783
176357;4;13;87801
167732;1;20;87820
2158111;1;2;87832
2158111;1;1;87833
167732;1;13;87890
167732;1;10;87919
176357;3;2;87954
176357;3;7;87990
176357;5;2;88016
167732;1;3;88030
974356;0;0;88051
846838;1;4;88061
846838;1;5;88062
165592;13;1;88144
176357;4;3;88148
806910;1;163;88232
806910;1;154;88233
806910;1;157;88234
806910;1;156;88235
806910;1;164;88236
806910;1;158;88237
806910;1;155;88238
806910;1;159;88239
147770;1;13;88244
806901;20;8;88283
167732;1;11;88304
167732;1;6;88317
297626;1;3;88325
812202;1;3;88387
165592;14;3;88439
149504;1;0;88588
88655;1;2;88656
88655;1;3;88657
820333;1;3;88666
167732;1;17;88672
176357;5;4;88677
88476;1;0;88692
88622;1;9;88728
46593;31;5;88742
806910;1;187;88755
985040;3;3;88759
1729107;1;7;88798
297626;2;10;88825
297626;3;2;88832
176357;4;11;88901
147770;1;12;88909
88495;1;1;88935
297626;1;1;88949
88507;1;6;89027
159876;0;0;89232
159876;0;0;89262
297626;2;5;89291
159876;13;10;89387
88549;1;1;89455
88558;1;1;89528
167732;1;28;89548
297626;2;1;89570
78657;6;7;89596
88568;1;1;89602
159876;15;1;89616
88571;1;1;89619
176357;4;6;89701
176357;0;0;89759
2286153;1;12;89833
167732;1;12;89915
297626;2;9;89944
806910;1;176;89969
806901;8;5;89975
88606;1;1;90004
806910;1;166;90131
806910;1;171;90132
806910;1;170;90133
806910;1;167;90134
806910;1;172;90135
806910;1;174;90136
3469694;1;3;90158
176357;4;18;90164
297626;2;3;90176
248656;1;6;90187
176357;4;14;90231
1287866;0;0;90320
80231;1;1;90328
167732;1;22;90560
176357;6;1;90607
46593;31;4;90680
820333;2;6;90732
83486;5;16;90751
190210;1;3;90780
46593;30;16;90803
88622;1;3;90804
297626;3;1;90858
90410;1;1;90885
90481;1;1;90943
364151;2;2;90947
1686687;0;0;90975
297626;3;5;90990
46593;30;10;91048
820333;2;5;91111
46593;30;5;91115
167732;1;21;91146
90445;1;1;91186
46593;30;1;91194
46593;31;2;91198
297626;2;8;91222
46593;30;9;91248
364151;2;1;91279
90460;1;1;91280
90466;1;1;91368
90469;1;0;91386
884889;1;3;91393
1155386;1;4;91394
46593;31;7;91395
985040;4;2;91418
46593;31;3;91420
167732;1;25;91432
806901;18;2;91478
46593;30;11;91566
297626;3;6;91606
364151;2;4;91634
297626;3;7;91649
90498;1;1;91708
92434;1;0;91821
46593;30;7;91852
806910;1;181;91854
176357;5;1;91858
176357;5;16;91861
176357;5;13;91864
2013869;1;4;91870
974356;0;0;91901
1087545;1;7;91906
46593;31;9;92027
176357;5;19;92028
86791;2;5;92039
1087545;1;6;92055
806910;1;182;92056
1087545;1;4;92057
806910;1;180;92058
806910;1;188;92059
806910;1;179;92060
806910;1;184;92061
806910;1;185;92062
806910;1;186;92063
46593;31;8;92077
77082;7;14;92152
46593;30;13;92269
